fips,state,county,stateiso
48351,Texas,Newton County,TX
48353,Texas,Nolan County,TX
48355,Texas,Nueces County,TX
48357,Texas,Ochiltree County,TX
48359,Texas,Oldham County,TX
48361,Texas,Orange County,TX
48363,Texas,Palo Pinto County,TX
48365,Texas,Panola County,TX
48367,Texas,Parker County,TX
48369,Texas,Parmer County,TX
48371,Texas,Pecos County,TX
48373,Texas,Polk County,TX
48375,Texas,Potter County,TX
48377,Texas,Presidio County,TX
48379,Texas,Rains County,TX
48381,Texas,Randall County,TX
48383,Texas,Reagan County,TX
48385,Texas,Real County,TX
48387,Texas,Red River County,TX
48389,Texas,Reeves County,TX
48391,Texas,Refugio County,TX
48393,Texas,Roberts County,TX
48395,Texas,Robertson County,TX
48397,Texas,Rockwall County,TX
48399,Texas,Runnels County,TX
48401,Texas,Rusk County,TX
48403,Texas,Sabine County,TX
48405,Texas,San Augustine County,TX
48407,Texas,San Jacinto County,TX
48409,Texas,San Patricio County,TX
48411,Texas,San Saba County,TX
48413,Texas,Schleicher County,TX
48415,Texas,Scurry County,TX
48417,Texas,Shackelford County,TX
48419,Texas,Shelby County,TX
48421,Texas,Sherman County,TX
48423,Texas,Smith County,TX
48425,Texas,Somervell County,TX
48427,Texas,Starr County,TX
48429,Texas,Stephens County,TX
48431,Texas,Sterling County,TX
48433,Texas,Stonewall County,TX
48435,Texas,Sutton County,TX
48437,Texas,Swisher County,TX
48439,Texas,Tarrant County,TX
48441,Texas,Taylor County,TX
48443,Texas,Terrell County,TX
48445,Texas,Terry County,TX
48447,Texas,Throckmorton County,TX
48449,Texas,Titus County,TX
48451,Texas,Tom Green County,TX
48453,Texas,Travis County,TX
48455,Texas,Trinity County,TX
48457,Texas,Tyler County,TX
48459,Texas,Upshur County,TX
48461,Texas,Upton County,TX
48463,Texas,Uvalde County,TX
48465,Texas,Val Verde County,TX
48467,Texas,Van Zandt County,TX
48469,Texas,Victoria County,TX
48471,Texas,Walker County,TX
48473,Texas,Waller County,TX
48475,Texas,Ward County,TX
48477,Texas,Washington County,TX
48479,Texas,Webb County,TX
48481,Texas,Wharton County,TX
48483,Texas,Wheeler County,TX
48485,Texas,Wichita County,TX
48487,Texas,Wilbarger County,TX
48489,Texas,Willacy County,TX
48491,Texas,Williamson County,TX
48493,Texas,Wilson County,TX
48495,Texas,Winkler County,TX
48497,Texas,Wise County,TX
48499,Texas,Wood County,TX
48501,Texas,Yoakum County,TX
48503,Texas,Young County,TX
48505,Texas,Zapata County,TX
48507,Texas,Zavala County,TX
49001,Utah,Beaver County,UT
49003,Utah,Box Elder County,UT
49005,Utah,Cache County,UT
49007,Utah,Carbon County,UT
49009,Utah,Daggett County,UT
49011,Utah,Davis County,UT
49013,Utah,Duchesne County,UT
49015,Utah,Emery County,UT
49017,Utah,Garfield County,UT
49019,Utah,Grand County,UT
49021,Utah,Iron County,UT
49023,Utah,Juab County,UT
49025,Utah,Kane County,UT
49027,Utah,Millard County,UT
49029,Utah,Morgan County,UT
49031,Utah,Piute County,UT
49033,Utah,Rich County,UT
49035,Utah,Salt Lake County,UT
49037,Utah,San Juan County,UT
49039,Utah,Sanpete County,UT
49041,Utah,Sevier County,UT
49043,Utah,Summit County,UT
49045,Utah,Tooele County,UT
49047,Utah,Uintah County,UT
49049,Utah,Utah County,UT
49051,Utah,Wasatch County,UT
49053,Utah,Washington County,UT
49055,Utah,Wayne County,UT
49057,Utah,Weber County,UT
50001,Vermont,Addison County,VT
50003,Vermont,Bennington County,VT
50005,Vermont,Caledonia County,VT
50007,Vermont,Chittenden County,VT
50009,Vermont,Essex County,VT
50011,Vermont,Franklin County,VT
50013,Vermont,Grand Isle County,VT
50015,Vermont,Lamoille County,VT
50017,Vermont,Orange County,VT
50019,Vermont,Orleans County,VT
50021,Vermont,Rutland County,VT
50023,Vermont,Washington County,VT
50025,Vermont,Windham County,VT
50027,Vermont,Windsor County,VT
51001,Virginia,Accomack County,VA
51003,Virginia,Albemarle County,VA
51005,Virginia,Alleghany County,VA
51007,Virginia,Amelia County,VA
51009,Virginia,Amherst County,VA
51011,Virginia,Appomattox County,VA
51013,Virginia,Arlington County,VA
51015,Virginia,Augusta County,VA
51017,Virginia,Bath County,VA
51019,Virginia,Bedford County,VA
51021,Virginia,Bland County,VA
51023,Virginia,Botetourt County,VA
51025,Virginia,Brunswick County,VA
51027,Virginia,Buchanan County,VA
51029,Virginia,Buckingham County,VA
51031,Virginia,Campbell County,VA
51033,Virginia,Caroline County,VA
51035,Virginia,Carroll County,VA
51036,Virginia,Charles City County,VA
51037,Virginia,Charlotte County,VA
51041,Virginia,Chesterfield County,VA
51043,Virginia,Clarke County,VA
51045,Virginia,Craig County,VA
51047,Virginia,Culpeper County,VA
51049,Virginia,Cumberland County,VA
51051,Virginia,Dickenson County,VA
51053,Virginia,Dinwiddie County,VA
51057,Virginia,Essex County,VA
51059,Virginia,Fairfax County,VA
51061,Virginia,Fauquier County,VA
51063,Virginia,Floyd County,VA
51065,Virginia,Fluvanna County,VA
51067,Virginia,Franklin County,VA
51069,Virginia,Frederick County,VA
51071,Virginia,Giles County,VA
51073,Virginia,Gloucester County,VA
51075,Virginia,Goochland County,VA
51077,Virginia,Grayson County,VA
51079,Virginia,Greene County,VA
51081,Virginia,Greensville County,VA
51083,Virginia,Halifax County,VA
51085,Virginia,Hanover County,VA
51087,Virginia,Henrico County,VA
51089,Virginia,Henry County,VA
51091,Virginia,Highland County,VA
51093,Virginia,Isle of Wight County,VA
51095,Virginia,James City County,VA
51097,Virginia,King and Queen County,VA
51099,Virginia,King George County,VA
51101,Virginia,King William County,VA
51103,Virginia,Lancaster County,VA
51105,Virginia,Lee County,VA
51107,Virginia,Loudoun County,VA
51109,Virginia,Louisa County,VA
51111,Virginia,Lunenburg County,VA
51113,Virginia,Madison County,VA
51115,Virginia,Mathews County,VA
51117,Virginia,Mecklenburg County,VA
51119,Virginia,Middlesex County,VA
51121,Virginia,Montgomery County,VA
51125,Virginia,Nelson County,VA
51127,Virginia,New Kent County,VA
51131,Virginia,Northampton County,VA
51133,Virginia,Northumberland County,VA
51135,Virginia,Nottoway County,VA
51137,Virginia,Orange County,VA
51139,Virginia,Page County,VA
51141,Virginia,Patrick County,VA
51143,Virginia,Pittsylvania County,VA
51145,Virginia,Powhatan County,VA
51147,Virginia,Prince Edward County,VA
51149,Virginia,Prince George County,VA
51153,Virginia,Prince William County,VA
51155,Virginia,Pulaski County,VA
51157,Virginia,Rappahannock County,VA
51159,Virginia,Richmond County,VA
51161,Virginia,Roanoke County,VA
51163,Virginia,Rockbridge County,VA
51165,Virginia,Rockingham County,VA
51167,Virginia,Russell County,VA
51169,Virginia,Scott County,VA
51171,Virginia,Shenandoah County,VA
51173,Virginia,Smyth County,VA
51175,Virginia,Southampton County,VA
51177,Virginia,Spotsylvania County,VA
51179,Virginia,Stafford County,VA
51181,Virginia,Surry County,VA
51183,Virginia,Sussex County,VA
51185,Virginia,Tazewell County,VA
51187,Virginia,Warren County,VA
51191,Virginia,Washington County,VA
51193,Virginia,Westmoreland County,VA
51195,Virginia,Wise County,VA
51197,Virginia,Wythe County,VA
51199,Virginia,York County,VA
51510,Virginia,Alexandria city,VA
51520,Virginia,Bristol city,VA
51530,Virginia,Buena Vista city,VA
51540,Virginia,Charlottesville city,VA
51550,Virginia,Chesapeake city,VA
51570,Virginia,Colonial Heights city,VA
51580,Virginia,Covington city,VA
51590,Virginia,Danville city,VA
51595,Virginia,Emporia city,VA
51600,Virginia,Fairfax city,VA
51610,Virginia,Falls Church city,VA
51620,Virginia,Franklin city,VA
51630,Virginia,Fredericksburg city,VA
51640,Virginia,Galax city,VA
51650,Virginia,Hampton city,VA
51660,Virginia,Harrisonburg city,VA
51670,Virginia,Hopewell city,VA
51678,Virginia,Lexington city,VA
51680,Virginia,Lynchburg city,VA
51683,Virginia,Manassas city,VA
51685,Virginia,Manassas Park city,VA
51690,Virginia,Martinsville city,VA
51700,Virginia,Newport News city,VA
51710,Virginia,Norfolk city,VA
51720,Virginia,Norton city,VA
51730,Virginia,Petersburg city,VA
51735,Virginia,Poquoson city,VA
51740,Virginia,Portsmouth city,VA
51750,Virginia,Radford city,VA
51760,Virginia,Richmond city,VA
51770,Virginia,Roanoke city,VA
51775,Virginia,Salem city,VA
51790,Virginia,Staunton city,VA
51800,Virginia,Suffolk city,VA
51810,Virginia,Virginia Beach city,VA
51820,Virginia,Waynesboro city,VA
51830,Virginia,Williamsburg city,VA
51840,Virginia,Winchester city,VA
53001,Washington,Adams County,WA
53003,Washington,Asotin County,WA
53005,Washington,Benton County,WA
53007,Washington,Chelan County,WA
53009,Washington,Clallam County,WA
53011,Washington,Clark County,WA
53013,Washington,Columbia County,WA
53015,Washington,Cowlitz County,WA
53017,Washington,Douglas County,WA
53019,Washington,Ferry County,WA
53021,Washington,Franklin County,WA
53023,Washington,Garfield County,WA
53025,Washington,Grant County,WA
53027,Washington,Grays Harbor County,WA
53029,Washington,Island County,WA
53031,Washington,Jefferson County,WA
53033,Washington,King County,WA
53035,Washington,Kitsap County,WA
53037,Washington,Kittitas County,WA
53039,Washington,Klickitat County,WA
53041,Washington,Lewis County,WA
53043,Washington,Lincoln County,WA
53045,Washington,Mason County,WA
53047,Washington,Okanogan County,WA
53049,Washington,Pacific County,WA
53051,Washington,Pend Oreille County,WA
53053,Washington,Pierce County,WA
53055,Washington,San Juan County,WA
53057,Washington,Skagit County,WA
53059,Washington,Skamania County,WA
53061,Washington,Snohomish County,WA
53063,Washington,Spokane County,WA
53065,Washington,Stevens County,WA
53067,Washington,Thurston County,WA
53069,Washington,Wahkiakum County,WA
53071,Washington,Walla Walla County,WA
53073,Washington,Whatcom County,WA
53075,Washington,Whitman County,WA
53077,Washington,Yakima County,WA
54001,West Virginia,Barbour County,WV
54003,West Virginia,Berkeley County,WV
54005,West Virginia,Boone County,WV
54007,West Virginia,Braxton County,WV
54009,West Virginia,Brooke County,WV
54011,West Virginia,Cabell County,WV
54013,West Virginia,Calhoun County,WV
54015,West Virginia,Clay County,WV
54017,West Virginia,Doddridge County,WV
54019,West Virginia,Fayette County,WV
54021,West Virginia,Gilmer County,WV
54023,West Virginia,Grant County,WV
54025,West Virginia,Greenbrier County,WV
54027,West Virginia,Hampshire County,WV
54029,West Virginia,Hancock County,WV
54031,West Virginia,Hardy County,WV
54033,West Virginia,Harrison County,WV
54035,West Virginia,Jackson County,WV
54037,West Virginia,Jefferson County,WV
54039,West Virginia,Kanawha County,WV
54041,West Virginia,Lewis County,WV
54043,West Virginia,Lincoln County,WV
54045,West Virginia,Logan County,WV
54047,West Virginia,McDowell County,WV
54049,West Virginia,Marion County,WV
54051,West Virginia,Marshall County,WV
54053,West Virginia,Mason County,WV
54055,West Virginia,Mercer County,WV
54057,West Virginia,Mineral County,WV
54059,West Virginia,Mingo County,WV
54061,West Virginia,Monongalia County,WV
54063,West Virginia,Monroe County,WV
54065,West Virginia,Morgan County,WV
54067,West Virginia,Nicholas County,WV
54069,West Virginia,Ohio County,WV
54071,West Virginia,Pendleton County,WV
54073,West Virginia,Pleasants County,WV
54075,West Virginia,Pocahontas County,WV
54077,West Virginia,Preston County,WV
54079,West Virginia,Putnam County,WV
54081,West Virginia,Raleigh County,WV
54083,West Virginia,Randolph County,WV
54085,West Virginia,Ritchie County,WV
54087,West Virginia,Roane County,WV
54089,West Virginia,Summers County,WV
54091,West Virginia,Taylor County,WV
54093,West Virginia,Tucker County,WV
54095,West Virginia,Tyler County,WV
54097,West Virginia,Upshur County,WV
54099,West Virginia,Wayne County,WV
54101,West Virginia,Webster County,WV
54103,West Virginia,Wetzel County,WV
54105,West Virginia,Wirt County,WV
54107,West Virginia,Wood County,WV
54109,West Virginia,Wyoming County,WV
55001,Wisconsin,Adams County,WI
55003,Wisconsin,Ashland County,WI
55005,Wisconsin,Barron County,WI
55007,Wisconsin,Bayfield County,WI
55009,Wisconsin,Brown County,WI
55011,Wisconsin,Buffalo County,WI
55013,Wisconsin,Burnett County,WI
55015,Wisconsin,Calumet County,WI
55017,Wisconsin,Chippewa County,WI
55019,Wisconsin,Clark County,WI
55021,Wisconsin,Columbia County,WI
55023,Wisconsin,Crawford County,WI
55025,Wisconsin,Dane County,WI
55027,Wisconsin,Dodge County,WI
55029,Wisconsin,Door County,WI
55031,Wisconsin,Douglas County,WI
55033,Wisconsin,Dunn County,WI
55035,Wisconsin,Eau Claire County,WI
55037,Wisconsin,Florence County,WI
55039,Wisconsin,Fond du Lac County,WI
55041,Wisconsin,Forest County,WI
55043,Wisconsin,Grant County,WI
55045,Wisconsin,Green County,WI
55047,Wisconsin,Green Lake County,WI
55049,Wisconsin,Iowa County,WI
55051,Wisconsin,Iron County,WI
55053,Wisconsin,Jackson County,WI
55055,Wisconsin,Jefferson County,WI
55057,Wisconsin,Juneau County,WI
55059,Wisconsin,Kenosha County,WI
55061,Wisconsin,Kewaunee County,WI
55063,Wisconsin,La Crosse County,WI
55065,Wisconsin,Lafayette County,WI
55067,Wisconsin,Langlade County,WI
55069,Wisconsin,Lincoln County,WI
55071,Wisconsin,Manitowoc County,WI
55073,Wisconsin,Marathon County,WI
55075,Wisconsin,Marinette County,WI
55077,Wisconsin,Marquette County,WI
55078,Wisconsin,Menominee County,WI
55079,Wisconsin,Milwaukee County,WI
55081,Wisconsin,Monroe County,WI
55083,Wisconsin,Oconto County,WI
55085,Wisconsin,Oneida County,WI
55087,Wisconsin,Outagamie County,WI
55089,Wisconsin,Ozaukee County,WI
55091,Wisconsin,Pepin County,WI
55093,Wisconsin,Pierce County,WI
55095,Wisconsin,Polk County,WI
55097,Wisconsin,Portage County,WI
55099,Wisconsin,Price County,WI
55101,Wisconsin,Racine County,WI
55103,Wisconsin,Richland County,WI
55105,Wisconsin,Rock County,WI
55107,Wisconsin,Rusk County,WI
55109,Wisconsin,St. Croix County,WI
55111,Wisconsin,Sauk County,WI
55113,Wisconsin,Sawyer County,WI
55115,Wisconsin,Shawano County,WI
55117,Wisconsin,Sheboygan County,WI
55119,Wisconsin,Taylor County,WI
55121,Wisconsin,Trempealeau County,WI
55123,Wisconsin,Vernon County,WI
55125,Wisconsin,Vilas County,WI
55127,Wisconsin,Walworth County,WI
55129,Wisconsin,Washburn County,WI
55131,Wisconsin,Washington County,WI
55133,Wisconsin,Waukesha County,WI
55135,Wisconsin,Waupaca County,WI
55137,Wisconsin,Waushara County,WI
55139,Wisconsin,Winnebago County,WI
55141,Wisconsin,Wood County,WI
56001,Wyoming,Albany County,WY
56003,Wyoming,Big Horn County,WY
56005,Wyoming,Campbell County,WY
56007,Wyoming,Carbon County,WY
56009,Wyoming,Converse County,WY
56011,Wyoming,Crook County,WY
56013,Wyoming,Fremont County,WY
56015,Wyoming,Goshen County,WY
56017,Wyoming,Hot Springs County,WY
56019,Wyoming,Johnson County,WY
56021,Wyoming,Laramie County,WY
56023,Wyoming,Lincoln County,WY
56025,Wyoming,Natrona County,WY
56027,Wyoming,Niobrara County,WY
56029,Wyoming,Park County,WY
56031,Wyoming,Platte County,WY
56033,Wyoming,Sheridan County,WY
56035,Wyoming,Sublette County,WY
56037,Wyoming,Sweetwater County,WY
56039,Wyoming,Teton County,WY
56041,Wyoming,Uinta County,WY
56043,Wyoming,Washakie County,WY
56045,Wyoming,Weston County,WY
