county,state,population2013,Core_Based_Statistical_Area
McCormick,South Carolina,9947,
Marion,South Carolina,32072,
Marlboro,South Carolina,28003,"Bennettsville, SC Micropolitan Statistical Area"
Newberry,South Carolina,37521,"Newberry, SC Micropolitan Statistical Area"
Oconee,South Carolina,75045,"Seneca, SC Micropolitan Statistical Area"
Orangeburg,South Carolina,90942,"Orangeburg, SC Micropolitan Statistical Area"
Pickens,South Carolina,119829,"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area"
Richland,South Carolina,399256,"Columbia, SC Metropolitan Statistical Area"
Saluda,South Carolina,20091,"Columbia, SC Metropolitan Statistical Area"
Spartanburg,South Carolina,290969,"Spartanburg, SC Metropolitan Statistical Area"
Sumter,South Carolina,108123,"Sumter, SC Metropolitan Statistical Area"
Union,South Carolina,28030,"Spartanburg, SC Metropolitan Statistical Area"
Williamsburg,South Carolina,33067,
York,South Carolina,239363,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area"
Aurora,South Dakota,2720,
Beadle,South Dakota,18080,"Huron, SD Micropolitan Statistical Area"
Bennett,South Dakota,3452,
Bon Homme,South Dakota,7046,
Brookings,South Dakota,32968,"Brookings, SD Micropolitan Statistical Area"
Brown,South Dakota,37907,"Aberdeen, SD Micropolitan Statistical Area"
Brule,South Dakota,5366,
Buffalo,South Dakota,2024,
Butte,South Dakota,10330,
Campbell,South Dakota,1334,
Charles Mix,South Dakota,9241,
Clark,South Dakota,3610,
Clay,South Dakota,13935,"Vermillion, SD Micropolitan Statistical Area"
Codington,South Dakota,27853,"Watertown, SD Micropolitan Statistical Area"
Corson,South Dakota,4215,
Custer,South Dakota,8468,"Rapid City, SD Metropolitan Statistical Area"
Davison,South Dakota,19823,"Mitchell, SD Micropolitan Statistical Area"
Day,South Dakota,5596,
Deuel,South Dakota,4320,
Dewey,South Dakota,5586,
Douglas,South Dakota,3023,
Edmunds,South Dakota,4041,"Aberdeen, SD Micropolitan Statistical Area"
Fall River,South Dakota,6839,
Faulk,South Dakota,2386,
Grant,South Dakota,7281,
Gregory,South Dakota,4242,
Haakon,South Dakota,1894,
Hamlin,South Dakota,5961,
Hand,South Dakota,3391,
Hanson,South Dakota,3405,"Mitchell, SD Micropolitan Statistical Area"
Harding,South Dakota,1262,
Hughes,South Dakota,17508,"Pierre, SD Micropolitan Statistical Area"
Hutchinson,South Dakota,7145,
Hyde,South Dakota,1391,
Jackson,South Dakota,3216,
Jerauld,South Dakota,2066,
Jones,South Dakota,1001,
Kingsbury,South Dakota,5065,
Lake,South Dakota,12055,
Lawrence,South Dakota,24910,"Spearfish, SD Micropolitan Statistical Area"
Lincoln,South Dakota,49858,"Sioux Falls, SD Metropolitan Statistical Area"
Lyman,South Dakota,3892,
McCook,South Dakota,5654,"Sioux Falls, SD Metropolitan Statistical Area"
McPherson,South Dakota,2457,
Marshall,South Dakota,4763,
Meade,South Dakota,27202,"Rapid City, SD Metropolitan Statistical Area"
Mellette,South Dakota,2081,
Miner,South Dakota,2333,
Minnehaha,South Dakota,179640,"Sioux Falls, SD Metropolitan Statistical Area"
Moody,South Dakota,6404,
Oglala Lakota,South Dakota,14118,
Pennington,South Dakota,105761,"Rapid City, SD Metropolitan Statistical Area"
Perkins,South Dakota,3037,
Potter,South Dakota,2394,
Roberts,South Dakota,10251,
Sanborn,South Dakota,2324,
Spink,South Dakota,6610,
Stanley,South Dakota,2981,"Pierre, SD Micropolitan Statistical Area"
Sully,South Dakota,1437,"Pierre, SD Micropolitan Statistical Area"
Todd,South Dakota,9982,
Tripp,South Dakota,5498,
Turner,South Dakota,8361,"Sioux Falls, SD Metropolitan Statistical Area"
Union,South Dakota,14829,"Sioux City, IA-NE-SD Metropolitan Statistical Area"
Walworth,South Dakota,5524,
Yankton,South Dakota,22696,"Yankton, SD Micropolitan Statistical Area"
Ziebach,South Dakota,2834,
Anderson,Tennessee,75542,"Knoxville, TN Metropolitan Statistical Area"
Bedford,Tennessee,45901,"Shelbyville, TN Micropolitan Statistical Area"
Benton,Tennessee,16290,
Bledsoe,Tennessee,12841,
Blount,Tennessee,125099,"Knoxville, TN Metropolitan Statistical Area"
Bradley,Tennessee,101848,"Cleveland, TN Metropolitan Statistical Area"
Campbell,Tennessee,40238,"Knoxville, TN Metropolitan Statistical Area"
Cannon,Tennessee,13775,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Carroll,Tennessee,28513,
Carter,Tennessee,57338,"Johnson City, TN Metropolitan Statistical Area"
Cheatham,Tennessee,39492,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Chester,Tennessee,17321,"Jackson, TN Metropolitan Statistical Area"
Claiborne,Tennessee,31560,
Clay,Tennessee,7774,
Cocke,Tennessee,35479,"Newport, TN Micropolitan Statistical Area"
Coffee,Tennessee,53357,"Tullahoma-Manchester, TN Micropolitan Statistical Area"
Crockett,Tennessee,14591,"Jackson, TN Metropolitan Statistical Area"
Cumberland,Tennessee,57466,"Crossville, TN Micropolitan Statistical Area"
Davidson,Tennessee,658602,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Decatur,Tennessee,11661,
DeKalb,Tennessee,19164,
Dickson,Tennessee,50266,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Dyer,Tennessee,38213,"Dyersburg, TN Micropolitan Statistical Area"
Fayette,Tennessee,38690,"Memphis, TN-MS-AR Metropolitan Statistical Area"
Fentress,Tennessee,17909,
Franklin,Tennessee,41129,"Tullahoma-Manchester, TN Micropolitan Statistical Area"
Gibson,Tennessee,49457,
Giles,Tennessee,28746,
Grainger,Tennessee,22702,"Knoxville, TN Metropolitan Statistical Area"
Greene,Tennessee,68267,"Greeneville, TN Micropolitan Statistical Area"
Grundy,Tennessee,13498,
Hamblen,Tennessee,63074,"Morristown, TN Metropolitan Statistical Area"
Hamilton,Tennessee,348673,"Chattanooga, TN-GA Metropolitan Statistical Area"
Hancock,Tennessee,6679,
Hardeman,Tennessee,26306,
Hardin,Tennessee,26034,
Hawkins,Tennessee,56800,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area"
Haywood,Tennessee,18224,
Henderson,Tennessee,28048,
Henry,Tennessee,32210,"Paris, TN Micropolitan Statistical Area"
Hickman,Tennessee,24267,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Houston,Tennessee,8292,
Humphreys,Tennessee,18243,
Jackson,Tennessee,11517,"Cookeville, TN Micropolitan Statistical Area"
Jefferson,Tennessee,52123,"Morristown, TN Metropolitan Statistical Area"
Johnson,Tennessee,17977,
Knox,Tennessee,444622,"Knoxville, TN Metropolitan Statistical Area"
Lake,Tennessee,7731,
Lauderdale,Tennessee,27795,
Lawrence,Tennessee,41990,"Lawrenceburg, TN Micropolitan Statistical Area"
Lewis,Tennessee,11961,
Lincoln,Tennessee,33633,
Loudon,Tennessee,50448,"Knoxville, TN Metropolitan Statistical Area"
McMinn,Tennessee,52341,"Athens, TN Micropolitan Statistical Area"
McNairy,Tennessee,26140,
Macon,Tennessee,22701,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Madison,Tennessee,98733,"Jackson, TN Metropolitan Statistical Area"
Marion,Tennessee,28374,"Chattanooga, TN-GA Metropolitan Statistical Area"
Marshall,Tennessee,31130,"Lewisburg, TN Micropolitan Statistical Area"
Maury,Tennessee,83761,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Meigs,Tennessee,11649,
Monroe,Tennessee,45265,
Montgomery,Tennessee,184119,"Clarksville, TN-KY Metropolitan Statistical Area"
Moore,Tennessee,6301,"Tullahoma-Manchester, TN Micropolitan Statistical Area"
Morgan,Tennessee,21915,"Knoxville, TN Metropolitan Statistical Area"
Obion,Tennessee,31131,"Union City, TN Micropolitan Statistical Area"
Overton,Tennessee,22075,"Cookeville, TN Micropolitan Statistical Area"
Perry,Tennessee,7869,
Pickett,Tennessee,5090,
Polk,Tennessee,16690,"Cleveland, TN Metropolitan Statistical Area"
Putnam,Tennessee,73525,"Cookeville, TN Micropolitan Statistical Area"
Rhea,Tennessee,32513,"Dayton, TN Micropolitan Statistical Area"
Roane,Tennessee,53047,"Knoxville, TN Metropolitan Statistical Area"
Robertson,Tennessee,67383,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Rutherford,Tennessee,281029,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Scott,Tennessee,22015,
Sequatchie,Tennessee,14681,"Chattanooga, TN-GA Metropolitan Statistical Area"
Sevier,Tennessee,93570,"Sevierville, TN Micropolitan Statistical Area"
Shelby,Tennessee,939465,"Memphis, TN-MS-AR Metropolitan Statistical Area"
Smith,Tennessee,19074,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Stewart,Tennessee,13362,
Sullivan,Tennessee,156595,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area"
Sumner,Tennessee,168888,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Tipton,Tennessee,61586,"Memphis, TN-MS-AR Metropolitan Statistical Area"
Trousdale,Tennessee,7828,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Unicoi,Tennessee,18082,"Johnson City, TN Metropolitan Statistical Area"
Union,Tennessee,19102,"Knoxville, TN Metropolitan Statistical Area"
Van Buren,Tennessee,5583,
Warren,Tennessee,39965,"McMinnville, TN Micropolitan Statistical Area"
Washington,Tennessee,125546,"Johnson City, TN Metropolitan Statistical Area"
Wayne,Tennessee,16939,
Weakley,Tennessee,34450,"Martin, TN Micropolitan Statistical Area"
White,Tennessee,26244,
Williamson,Tennessee,198901,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Wilson,Tennessee,121945,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Anderson,Texas,57938,"Palestine, TX Micropolitan Statistical Area"
Andrews,Texas,16799,"Andrews, TX Micropolitan Statistical Area"
Angelina,Texas,87441,"Lufkin, TX Micropolitan Statistical Area"
Aransas,Texas,24356,"Corpus Christi, TX Metropolitan Statistical Area"
Archer,Texas,8681,"Wichita Falls, TX Metropolitan Statistical Area"
Armstrong,Texas,1949,"Amarillo, TX Metropolitan Statistical Area"
Atascosa,Texas,47093,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Austin,Texas,28847,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Bailey,Texas,7114,
Bandera,Texas,20601,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Bastrop,Texas,75825,"Austin-Round Rock, TX Metropolitan Statistical Area"
Baylor,Texas,3614,
Bee,Texas,32799,"Beeville, TX Micropolitan Statistical Area"
Bell,Texas,326843,"Killeen-Temple, TX Metropolitan Statistical Area"
Bexar,Texas,1817610,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Blanco,Texas,10723,
Borden,Texas,637,
Bosque,Texas,17855,
Bowie,Texas,93487,"Texarkana, TX-AR Metropolitan Statistical Area"
Brazoria,Texas,330242,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Brazos,Texas,203164,"College Station-Bryan, TX Metropolitan Statistical Area"
Brewster,Texas,9286,
Briscoe,Texas,1537,
Brooks,Texas,7237,
Brown,Texas,37749,"Brownwood, TX Micropolitan Statistical Area"
Burleson,Texas,17169,"College Station-Bryan, TX Metropolitan Statistical Area"
Burnet,Texas,43823,
Caldwell,Texas,39232,"Austin-Round Rock, TX Metropolitan Statistical Area"
Calhoun,Texas,21806,"Port Lavaca, TX Micropolitan Statistical Area"
Callahan,Texas,13525,"Abilene, TX Metropolitan Statistical Area"
Cameron,Texas,417276,"Brownsville-Harlingen, TX Metropolitan Statistical Area"
Camp,Texas,12413,
Carson,Texas,6010,"Amarillo, TX Metropolitan Statistical Area"
Cass,Texas,30331,
Castro,Texas,8030,
Chambers,Texas,36812,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Cherokee,Texas,50878,"Jacksonville, TX Micropolitan Statistical Area"
Childress,Texas,7095,
Clay,Texas,10473,"Wichita Falls, TX Metropolitan Statistical Area"
Cochran,Texas,3016,
Coke,Texas,3210,
Coleman,Texas,8543,
Collin,Texas,854778,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
Collingsworth,Texas,3099,
Colorado,Texas,20752,
Comal,Texas,118480,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Comanche,Texas,13623,
Concho,Texas,4043,
Cooke,Texas,38467,"Gainesville, TX Micropolitan Statistical Area"
Coryell,Texas,76192,"Killeen-Temple, TX Metropolitan Statistical Area"
Cottle,Texas,1452,
Crane,Texas,4773,
Crockett,Texas,3807,
Crosby,Texas,5991,"Lubbock, TX Metropolitan Statistical Area"
Culberson,Texas,2277,
Dallam,Texas,7057,
Dallas,Texas,2480331,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
Dawson,Texas,13810,"Lamesa, TX Micropolitan Statistical Area"
Deaf Smith,Texas,19177,"Hereford, TX Micropolitan Statistical Area"
Delta,Texas,5238,
Denton,Texas,728799,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
DeWitt,Texas,20503,
Dickens,Texas,2291,
Dimmit,Texas,10897,
Donley,Texas,3522,
Duval,Texas,11640,
Eastland,Texas,18245,
Ector,Texas,149378,"Odessa, TX Metropolitan Statistical Area"
Edwards,Texas,1884,
Ellis,Texas,155976,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
El Paso,Texas,827718,"El Paso, TX Metropolitan Statistical Area"
Erath,Texas,39658,"Stephenville, TX Micropolitan Statistical Area"
Falls,Texas,17493,"Waco, TX Metropolitan Statistical Area"
Fannin,Texas,33659,
Fayette,Texas,24821,
Fisher,Texas,3856,
Floyd,Texas,6230,
Foard,Texas,1277,
Fort Bend,Texas,652365,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Franklin,Texas,10660,
Freestone,Texas,19646,
Frio,Texas,18065,
Gaines,Texas,18921,
Galveston,Texas,306782,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Garza,Texas,6317,
Gillespie,Texas,25357,"Fredericksburg, TX Micropolitan Statistical Area"
Glasscock,Texas,1251,"Big Spring, TX Micropolitan Statistical Area"
Goliad,Texas,7465,"Victoria, TX Metropolitan Statistical Area"
Gonzales,Texas,20312,
Gray,Texas,23043,"Pampa, TX Micropolitan Statistical Area"
Grayson,Texas,122353,"Sherman-Denison, TX Metropolitan Statistical Area"
Gregg,Texas,123024,"Longview, TX Metropolitan Statistical Area"
Grimes,Texas,26859,
Guadalupe,Texas,143183,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Hale,Texas,35764,"Plainview, TX Micropolitan Statistical Area"
Hall,Texas,3239,
Hamilton,Texas,8310,
Hansford,Texas,5555,
Hardeman,Texas,4016,
Hardin,Texas,55417,"Beaumont-Port Arthur, TX Metropolitan Statistical Area"
Harris,Texas,4336853,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Harrison,Texas,66886,"Marshall, TX Micropolitan Statistical Area"
Hartley,Texas,6100,
Haskell,Texas,5875,
Hays,Texas,176026,"Austin-Round Rock, TX Metropolitan Statistical Area"
Hemphill,Texas,4158,
Henderson,Texas,78675,"Athens, TX Micropolitan Statistical Area"
Hidalgo,Texas,815996,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area"
Hill,Texas,34823,
Hockley,Texas,23530,"Levelland, TX Micropolitan Statistical Area"
Hood,Texas,52905,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
Hopkins,Texas,35565,"Sulphur Springs, TX Micropolitan Statistical Area"
Houston,Texas,22911,
Howard,Texas,36147,"Big Spring, TX Micropolitan Statistical Area"
Hudspeth,Texas,3318,"El Paso, TX Metropolitan Statistical Area"
Hunt,Texas,87048,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
Hutchinson,Texas,21819,"Borger, TX Micropolitan Statistical Area"
Irion,Texas,1612,"San Angelo, TX Metropolitan Statistical Area"
Jack,Texas,8957,
Jackson,Texas,14591,
Jasper,Texas,35649,
Jeff Davis,Texas,2253,
Jefferson,Texas,252358,"Beaumont-Port Arthur, TX Metropolitan Statistical Area"
Jim Hogg,Texas,5245,
Jim Wells,Texas,41680,"Alice, TX Micropolitan Statistical Area"
Johnson,Texas,154707,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
Jones,Texas,19859,"Abilene, TX Metropolitan Statistical Area"
Karnes,Texas,15081,
Kaufman,Texas,108568,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
Kendall,Texas,37766,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Kenedy,Texas,412,"Kingsville, TX Micropolitan Statistical Area"
Kent,Texas,807,
Kerr,Texas,49953,"Kerrville, TX Micropolitan Statistical Area"
Kimble,Texas,4481,
King,Texas,285,
Kinney,Texas,3586,
Kleberg,Texas,32101,"Kingsville, TX Micropolitan Statistical Area"
Knox,Texas,3767,
Lamar,Texas,49426,"Paris, TX Micropolitan Statistical Area"
Lamb,Texas,13775,
Lampasas,Texas,20222,"Killeen-Temple, TX Metropolitan Statistical Area"
La Salle,Texas,7369,
Lavaca,Texas,19581,
Lee,Texas,16628,
Leon,Texas,16742,
Liberty,Texas,76907,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Limestone,Texas,23326,
Lipscomb,Texas,3485,
Live Oak,Texas,11867,
Llano,Texas,19444,
Loving,Texas,95,
Lubbock,Texas,289324,"Lubbock, TX Metropolitan Statistical Area"
Lynn,Texas,5723,"Lubbock, TX Metropolitan Statistical Area"
McCulloch,Texas,8330,
McLennan,Texas,241481,"Waco, TX Metropolitan Statistical Area"
McMullen,Texas,764,
Madison,Texas,13781,
Marion,Texas,10235,
Martin,Texas,5312,"Midland, TX Metropolitan Statistical Area"
Mason,Texas,4128,
Matagorda,Texas,36592,"Bay City, TX Micropolitan Statistical Area"
Maverick,Texas,55932,"Eagle Pass, TX Micropolitan Statistical Area"
Medina,Texas,47399,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Menard,Texas,2148,
Midland,Texas,151468,"Midland, TX Metropolitan Statistical Area"
Milam,Texas,24167,
Mills,Texas,4907,
Mitchell,Texas,9402,
Montague,Texas,19503,
Montgomery,Texas,499137,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Moore,Texas,22141,"Dumas, TX Micropolitan Statistical Area"
Morris,Texas,12834,
Motley,Texas,1196,
Nacogdoches,Texas,65330,"Nacogdoches, TX Micropolitan Statistical Area"
Navarro,Texas,48038,"Corsicana, TX Micropolitan Statistical Area"
Newton,Texas,14140,"Beaumont-Port Arthur, TX Metropolitan Statistical Area"
Nolan,Texas,15037,"Sweetwater, TX Micropolitan Statistical Area"
Nueces,Texas,352107,"Corpus Christi, TX Metropolitan Statistical Area"
Ochiltree,Texas,10806,
Oldham,Texas,2102,"Amarillo, TX Metropolitan Statistical Area"
Orange,Texas,82957,"Beaumont-Port Arthur, TX Metropolitan Statistical Area"
Palo Pinto,Texas,27889,"Mineral Wells, TX Micropolitan Statistical Area"
Panola,Texas,23870,
Parker,Texas,121418,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
Parmer,Texas,9965,
Pecos,Texas,15697,
Polk,Texas,45790,
Potter,Texas,121661,"Amarillo, TX Metropolitan Statistical Area"
Presidio,Texas,7201,
Rains,Texas,11065,
Randall,Texas,126474,"Amarillo, TX Metropolitan Statistical Area"
Reagan,Texas,3601,
Real,Texas,3350,
Red River,Texas,12470,
Reeves,Texas,13965,"Pecos, TX Micropolitan Statistical Area"
Refugio,Texas,7305,
Roberts,Texas,831,
Robertson,Texas,16486,"College Station-Bryan, TX Metropolitan Statistical Area"
Rockwall,Texas,85245,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
Runnels,Texas,10309,
Rusk,Texas,53622,"Longview, TX Metropolitan Statistical Area"
Sabine,Texas,10361,
San Augustine,Texas,8769,
San Jacinto,Texas,26856,
San Patricio,Texas,66137,"Corpus Christi, TX Metropolitan Statistical Area"
San Saba,Texas,6012,
Schleicher,Texas,3206,
Scurry,Texas,17302,"Snyder, TX Micropolitan Statistical Area"
Shackelford,Texas,3375,
Shelby,Texas,25792,
Sherman,Texas,3093,
Smith,Texas,216080,"Tyler, TX Metropolitan Statistical Area"
Somervell,Texas,8658,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
Starr,Texas,61963,"Rio Grande City, TX Micropolitan Statistical Area"
Stephens,Texas,9247,
Sterling,Texas,1219,
Stonewall,Texas,1432,
Sutton,Texas,4006,
Swisher,Texas,7763,
Tarrant,Texas,1911541,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
Taylor,Texas,134117,"Abilene, TX Metropolitan Statistical Area"
Terrell,Texas,903,
Terry,Texas,12743,
Throckmorton,Texas,1600,
Titus,Texas,32581,"Mount Pleasant, TX Micropolitan Statistical Area"
Tom Green,Texas,114954,"San Angelo, TX Metropolitan Statistical Area"
Travis,Texas,1120954,"Austin-Round Rock, TX Metropolitan Statistical Area"
Trinity,Texas,14393,"Huntsville, TX Micropolitan Statistical Area"
Tyler,Texas,21464,
Upshur,Texas,39884,"Longview, TX Metropolitan Statistical Area"
Upton,Texas,3372,
Uvalde,Texas,26926,"Uvalde, TX Micropolitan Statistical Area"
Val Verde,Texas,48623,"Del Rio, TX Micropolitan Statistical Area"
Van Zandt,Texas,52481,
Victoria,Texas,90028,"Victoria, TX Metropolitan Statistical Area"
Walker,Texas,68817,"Huntsville, TX Micropolitan Statistical Area"
Waller,Texas,45213,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Ward,Texas,11244,
Washington,Texas,34147,"Brenham, TX Micropolitan Statistical Area"
Webb,Texas,262495,"Laredo, TX Metropolitan Statistical Area"
Wharton,Texas,41216,"El Campo, TX Micropolitan Statistical Area"
Wheeler,Texas,5751,
Wichita,Texas,132047,"Wichita Falls, TX Metropolitan Statistical Area"
Wilbarger,Texas,13131,"Vernon, TX Micropolitan Statistical Area"
Willacy,Texas,21921,"Raymondville, TX Micropolitan Statistical Area"
Williamson,Texas,471014,"Austin-Round Rock, TX Metropolitan Statistical Area"
Wilson,Texas,45418,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Winkler,Texas,7606,
Wise,Texas,60939,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
Wood,Texas,42306,
Yoakum,Texas,8184,
Young,Texas,18341,
Zapata,Texas,14390,"Zapata, TX Micropolitan Statistical Area"
Zavala,Texas,12156,
Bajo Nuevo Bank,U.S. Minor Outlying Islands,0,
Baker Island,U.S. Minor Outlying Islands,0,
Howland Island,U.S. Minor Outlying Islands,0,
Jarvis Island,U.S. Minor Outlying Islands,0,
Johnston Atoll,U.S. Minor Outlying Islands,0,
Kingman Reef,U.S. Minor Outlying Islands,0,
Midway Islands,U.S. Minor Outlying Islands,40,
Navassa Island,U.S. Minor Outlying Islands,0,
Palmyra Atoll,U.S. Minor Outlying Islands,20,
Serranilla Bank,U.S. Minor Outlying Islands,0,
Wake Island,U.S. Minor Outlying Islands,100,
Beaver,Utah,6459,
Box Elder,Utah,50794,"Ogden-Clearfield, UT Metropolitan Statistical Area"
Cache,Utah,116909,"Logan, UT-ID Metropolitan Statistical Area"
Carbon,Utah,20988,"Price, UT Micropolitan Statistical Area"
Daggett,Utah,1127,
Davis,Utah,322094,"Ogden-Clearfield, UT Metropolitan Statistical Area"
Duchesne,Utah,20308,
Emery,Utah,10749,
Garfield,Utah,5083,
Grand,Utah,9360,
Iron,Utah,46780,"Cedar City, UT Micropolitan Statistical Area"
Juab,Utah,10348,"Provo-Orem, UT Metropolitan Statistical Area"
Kane,Utah,7260,
Millard,Utah,12662,
Morgan,Utah,10173,"Ogden-Clearfield, UT Metropolitan Statistical Area"
Piute,Utah,1510,
Rich,Utah,2288,
Salt Lake,Utah,1079721,"Salt Lake City, UT Metropolitan Statistical Area"
San Juan,Utah,14973,
Sanpete,Utah,28237,
Sevier,Utah,20852,
Summit,Utah,38486,"Summit Park, UT Micropolitan Statistical Area"
Tooele,Utah,60762,"Salt Lake City, UT Metropolitan Statistical Area"
Uintah,Utah,35555,"Vernal, UT Micropolitan Statistical Area"
Utah,Utah,551891,"Provo-Orem, UT Metropolitan Statistical Area"
Wasatch,Utah,26437,"Heber, UT Micropolitan Statistical Area"
Washington,Utah,147800,"St. George, UT Metropolitan Statistical Area"
Wayne,Utah,2747,
Weber,Utah,238519,"Ogden-Clearfield, UT Metropolitan Statistical Area"
Addison,Vermont,36791,
Bennington,Vermont,36659,"Bennington, VT Micropolitan Statistical Area"
Caledonia,Vermont,31157,
Chittenden,Vermont,159515,"Burlington-South Burlington, VT Metropolitan Statistical Area"
Essex,Vermont,6211,"Berlin, NH-VT Micropolitan Statistical Area"
Franklin,Vermont,48294,"Burlington-South Burlington, VT Metropolitan Statistical Area"
Grand Isle,Vermont,6987,"Burlington-South Burlington, VT Metropolitan Statistical Area"
Lamoille,Vermont,25067,
Orange,Vermont,28915,"Claremont-Lebanon, NH-VT Micropolitan Statistical Area"
Orleans,Vermont,27169,
Rutland,Vermont,60622,"Rutland, VT Micropolitan Statistical Area"
Washington,Vermont,59319,"Barre, VT Micropolitan Statistical Area"
Windham,Vermont,43857,
Windsor,Vermont,56067,"Claremont-Lebanon, NH-VT Micropolitan Statistical Area"
Saint Croix Island,Virgin Islands (U.S.),50601,
Saint John Island,Virgin Islands (U.S.),4170,
Saint Thomas Island,Virgin Islands (U.S.),51634,
Accomack,Virginia,33148,
Albemarle,Virginia,103000,"Charlottesville, VA Metropolitan Statistical Area"
Alleghany,Virginia,16161,
Amelia,Virginia,12745,"Richmond, VA Metropolitan Statistical Area"
Amherst,Virginia,32178,"Lynchburg, VA Metropolitan Statistical Area"
Appomattox,Virginia,15255,"Lynchburg, VA Metropolitan Statistical Area"
Arlington,Virginia,224906,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Augusta,Virginia,73912,"Staunton-Waynesboro, VA Metropolitan Statistical Area"
Bath,Virginia,4616,
Bedford,Virginia,75773,"Lynchburg, VA Metropolitan Statistical Area"
Bland,Virginia,6735,
Botetourt,Virginia,33002,"Roanoke, VA Metropolitan Statistical Area"
Brunswick,Virginia,16973,
Buchanan,Virginia,23597,
Buckingham,Virginia,17136,"Charlottesville, VA Metropolitan Statistical Area"
Campbell,Virginia,55235,"Lynchburg, VA Metropolitan Statistical Area"
Caroline,Virginia,29298,"Richmond, VA Metropolitan Statistical Area"
Carroll,Virginia,29883,
Charles City,Virginia,7130,"Richmond, VA Metropolitan Statistical Area"
Charlotte,Virginia,12305,
Chesterfield,Virginia,327745,"Richmond, VA Metropolitan Statistical Area"
Clarke,Virginia,14348,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Craig,Virginia,5210,"Roanoke, VA Metropolitan Statistical Area"
Culpeper,Virginia,48506,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Cumberland,Virginia,9841,
Dickenson,Virginia,15486,"Big Stone Gap, VA Micropolitan Statistical Area"
Dinwiddie,Virginia,27904,"Richmond, VA Metropolitan Statistical Area"
Essex,Virginia,11229,
Fairfax,Virginia,1130924,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
